Section I - Assets,Foreign Currency,Total Currency,P_Tags
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2443279,3342342,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,83178907,93564291,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",80886,6050737,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,22493472,22493472,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,17324449,36614962,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,160290851,776158736,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,21464323,323983665,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,90610544,225724620,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,716100630,964893258,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,772615316,1398322289,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,12043115,49941660,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,434268777,854444377,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(A) Insured,1725168,429400335,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,154441827,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(C) Uninsured,195991767,1422031972,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,299509,8414500,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(ii) Non-residential,86098123,186819043,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",431253,4767354,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",15356972,33747317,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,26728,13184568,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(b) Accrued interest,17148094,31798247,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,1958766,8897293,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(d) Goodwill,49796793,71232460,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(i) with definite lives,8773769,23936771,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,11571,5260747,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,8067606,17374238,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,1252065818,314232782,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,17477662,19838501,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(j) Other,154825620,205364456,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
Total  Assets,5275180007,8582984299,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
