Section I - Assets,Foreign Currency,Total Currency,P_Tags
(C) Uninsured,0,1677644,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(ii) Non-residential,0,385066,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,30261,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,9050,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(b) Accrued interest,21,266531,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,18080,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(d) Goodwill,0,2095,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(i) with definite lives,0,99773,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,0,669,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,0,9111,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,0,57462,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(j) Other,0,29736,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
Total  Assets,24108,5387749,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
