Section I - Assets,Foreign Currency,Total Currency,P_Tags
(ii) To regulated financial institutions,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,581378,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(A) Insured,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(C) Uninsured,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) Non-residential,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(b) Accrued interest,0,3503,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,532,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(d) Goodwill,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(i) with definite lives,0,37555,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,0,31636,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(j) Other,0,5116,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
Total  Assets,0,739812,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
