Section I - Assets,Foreign Currency,Total Currency,P_Tags
Prepaid and deferred charges,0,559,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Goodwill,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Intangibles,Intangibles,Intangibles,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
with definite lives,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
with indefinite lives,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Future income taxes,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Derivatives related amounts,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Other,0,634,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Total assets,0,99347,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
